Ordem;N_trocas;N_comp;Tempo_exec;Tipo_Vetor
K2;2485;5050;0,000033;V_A
K2;0;5050;0,000038;V_O
K2;5050;5050;0,000026;V_I_O
K2;2029;5050;0,000102;V_Q_O
K3;255979;500500;0,002396;V_A
K3;0;500500;0,002967;V_O
K3;500500;500500;0,002473;V_I_O
K3;203199;500500;0,007311;V_Q_O
K4;24839325;50005000;0,281552;V_A
K4;0;50005000;0,128032;V_O
K4;500500;50005000;0,224856;V_I_O
K4;20687252;50005000;0,26605;V_Q_O
K5;2497175763;5000050000;34;V_A
K5;0;5000050000;12,285805;V_O
K5;500500;5000050000;22,24884;V_I_O
K5;2474052689;5000050000;33,688193;V_Q_O
K6;2,50E+11;5,00E+11;3412,427046;V_A
K6;0;5,00E+11;1208,447517;V_O
K6;5,00E+11;5,00E+11;2188,030008;V_I_O
K6;2,88E+11;5,00E+11;3187,668848;V_Q_O
