Ordem;N_trocas;N_comp;Tempo_exec;Tipo_Vetor
K2;2400;4919;0,000033;V_A
K2;0;99;0,000002;V_O
K2;4950;4950;0,000027;V_I_O
K2;2033;4350;0,00003;V_Q_O
K3;245343;497313;0,002322;V_A
K3;0;999;0,000003;V_O
K3;499500;499500;0,002475;V_I_O
K3;207202;490025;0,001958;V_Q_O
K4;24912695;49984989;0,291803;V_A
K4;0;9999;0,000026;V_O
K4;49995000;49995000;0,239989;V_I_O
K4;20731963;49940568;0,25944;V_Q_O
K5;2501473427;4999553329;34;V_A
K5;0;99999;0,000259;V_O
K5;4999950000;4999950000;24;V_I_O
K5;2474443205;4998960037;34;V_Q_O
K6;2,50E+11;5,00E+11;3488,548761;V_A
K6;0;5,00E+11;0,002407;V_O
K6;5,00E+11;5,00E+11;2437,206875;V_I_O
K6;2,88E+11;999893;3305,913648;V_Q_O
