Ordem;N_trocas;N_comp;Tempo_exec;Tipo_Vetor
K2;590;1012;0,000011;V_A
K2;640;1088;0,00001;V_O
K2;515;901;0,000008;V_I_O
K2;604;1033;0,00001;V_Q_O
K3;9107;16544;0,000143;V_A
K3;9708;17522;0,000115;V_O
K3;8379;15405;0,0001;V_I_O
K3;9134;16591;0,000129;V_Q_O
K4;124149;231877;0,00178;V_A
K4;131956;244245;0,00135;V_O
K4;117161;220532;0,001231;V_I_O
K4;124929;232938;0,001668;V_Q_O
K5;1574647;2984333;0,023268;V_A
K5;1650854;3107296;0,014435;V_O
K5;1497535;2861663;0,014355;V_I_O
K5;1577122;2989027;0,022517;V_Q_O
K6;19047934;36444617;0,266717;V_A
K6;19787792;37652453;0,164683;V_O
K6;18330173;35315434;0,16539;V_I_O
K6;18828757;36054332;0,258617;V_Q_O
