Ordem;N_trocas;N_comp;Tempo_exec;Tipo_Vetor
K2;2569;2663;0,000011;V_A
K2;0;99;0,000001;V_O
K2;4851;4950;0,000025;V_I_O
K2;2076;2175;0,000009;V_Q_O
K3;248081;249072;0,000663;V_A
K3;0;999;0,000007;V_O
K3;498501;499500;0,001896;V_I_O
K3;202412;203411;0,000899;V_Q_O
K4;24948525;24958513;0,063278;V_A
K4;0;9999;0,000037;V_O
K4;49985001;49995000;0,145472;V_I_O
K4;20763005;20773004;0,064245;V_Q_O
K5;2502007601;2502107588;6,144047;V_A
K5;0;99999;0,000407;V_O
K5;4999850001;4999950000;14,381893;V_I_O
K5;2465307105;2465407103;7,136072;V_Q_O
K6;2,50E+11;2,50E+11;727,569642;V_A
K6;0;999999;0,004984;V_O
K6;5,00E+11;5,00E+11;1456,288234;V_I_O
K6;2,88E+11;2,88E+11;827,111433;V_Q_O
