Ordem;N_trocas;N_comp;Tempo_exec;Tipo_Vetor
K2;544;544;0,000017;V_A
K2;365;365;0,000012;V_O
K2;325;325;0,000024;V_I_O
K2;542;542;0,000015;V_Q_O
K3;8723;8723;0,000168;V_A
K3;5056;5056;0,000099;V_O
K3;4947;4947;0,000104;V_I_O
K3;8470;8470;0,000156;V_Q_O
K4;120449;120449;0,002059;V_A
K4;69030;69030;0,001182;V_O
K4;64626;64626;0,001089;V_I_O
K4;116658;116658;0,001771;V_Q_O
K5;1536248;1536248;0,024241;V_A
K5;853930;853930;0,013367;V_O
K5;815046;815046;0,013112;V_I_O
K5;1485222;1485222;0,02215;V_Q_O
K6;18672692;18672692;0,243436;V_A
K6;10066463;10066463;0,150642;V_O
K6;9885018;9885018;0,148526;V_I_O
K6;17713069;17713069;0,232941;V_Q_O
