Ordem;N_trocas;N_comp;Tempo_exec;Tipo_Vetor
K2;225;424;0,000036;V_A
K2;68;480;0,00005;V_O
K2;117;382;0,000004;V_I_O
K2;203;443;0,000009;V_Q_O
K3;2961;6862;0,00039;V_A
K3;744;7987;0,000034;V_O
K3;1243;6989;0,000032;V_I_O
K3;2809;6599;0,000135;V_Q_O
K4;37798;103474;0,003222;V_A
K4;7952;113631;0,00041;V_O
K4;12951;103633;0,000409;V_I_O
K4;37080;106273;0,001333;V_Q_O
K5;500747;1141849;0,014802;V_A
K5;67232;1468946;0,004717;V_O
K5;117231;1368948;0,004715;V_I_O
K5;496569;1214196;0,014974;V_Q_O
K6;6532700;11488295;0,136301;V_A
K6;737856;17951445;0,053632;V_O
K6;1237855;16951447;0,053796;V_I_O
K6;6349576;12374715;0,137954;V_Q_O
