Ordem;N_trocas;N_comp;Tempo_exec;Tipo_Vetor
K2;95;4950;0,000023;V_A
K2;0;4950;0,000014;V_O
K2;49;4950;0,000021;V_I_O
K2;87;4950;0,000018;V_Q_O
K3;994;499500;0,001464;V_A
K3;0;499500;0,001232;V_O
K3;499;499500;0,001593;V_I_O
K3;991;499500;0,00129;V_Q_O
K4;9989;49995000;0,126472;V_A
K4;0;49995000;0,121738;V_O
K4;49999;49995000;0,124556;V_I_O
K4;9985;49995000;0,123464;V_Q_O
K5;99976;4999950000;12,001521;V_A
K5;0;4999950000;11,955292;V_O
K5;49999;4999950000;12,282517;V_I_O
K5;99992;4999950000;11,972808;V_Q_O
K6;999893;5,00E+11;1197,207489;V_A
K6;0;5,00E+11;1194,163404;V_O
K6;499999;5,00E+11;1231,429298;V_I_O
K6;999989;5,00E+11;1196,350922;V_Q_O
