Ordem;N_trocas;N_comp;Tempo_exec;Tipo_Vetor;;;
K2;465;503;0,000011;V_A;;;
K2;0;503;0,000004;V_O;;;
K2;337;503;0,000006;V_I_O;;;
K2;336;503;0,000009;V_Q_O;;;
K3;8170;8006;0,000152;V_A;;;
K3;0;8006;0,000035;V_O;;;
K3;4373;8006;0,000051;V_I_O;;;
K3;7229;8006;0,000126;V_Q_O;;;
K4;149170;120005;0,002299;V_A;;;
K4;0;120005;0,000523;V_O;;;
K4;58129;120005;0,000677;V_I_O;;;
K4;139008;120005;0,001942;V_Q_O;;;
K5;2849056;1500006;0,030822;V_A;;;
K5;0;1500006;0,006642;V_O;;;
K5;749297;1500006;0,008908;V_I_O;;;
K5;2821499;1500006;0,029297;V_Q_O;;;
K6;44984900;180000007;0,350051;V_A;;;
K6;0;180000007;0,076591;V_O;;;
K6;9736577;180000007;0,106722;V_I_O;;;
K6;35797686;180000007;0,310446;V_Q_O;;;
