Algoritmos;N_comp;Tipo_Vetor
Bubble;5,00001E+11;V_A
Bubble;5,00001E+11;V_O
Bubble;5,00001E+11;V_I_O
Bubble;5,00001E+11;V_Q_O
Bubble_Sentinela;4,99993E+11;V_A
Bubble_Sentinela;5E+11;V_O
Bubble_Sentinela;4,99991E+11;V_I_O
Bubble_Sentinela;999893;V_Q_O
Selection;5E+11;V_A
Selection;5E+11;V_O
Selection;5E+11;V_I_O
Selection;5E+11;V_Q_O
Insertion;2,501E+11;V_A
Insertion;999999;V_O
Insertion;5E+11;V_I_O
Insertion;2,88293E+11;V_Q_O
Merge;18672692;V_A
Merge;10066463;V_O
Merge;9885018;V_I_O
Merge;17713069;V_Q_O
Heap;36444617;V_A
Heap;37652453;V_O
Heap;35315434;V_I_O
Heap;36054332;V_Q_O
Quick;11488295;V_A
Quick;17951445;V_O
Quick;16951447;V_I_O
Quick;12374715;V_Q_O
Shell;180000007;V_A
Shell;180000007;V_O
Shell;180000007;V_I_O
Shell;180000007;V_Q_O
