Algoritmos;Tempo_exec;Tipo_Vetor
Bubble;3412,427046;V_A
Bubble;1208,447517;V_O
Bubble;2188,030008;V_I_O
Bubble;3187,668848;V_Q_O
Bubble_Sentinela;3488,548761;V_A
Bubble_Sentinela;0,002407;V_O
Bubble_Sentinela;2437,206875;V_I_O
Bubble_Sentinela;3305,913648;V_Q_O
Selection;1197,207489;V_A
Selection;1194,163404;V_O
Selection;1231,429298;V_I_O
Selection;1196,350922;V_Q_O
Insertion;727,569642;V_A
Insertion;0,004984;V_O
Insertion;1456,288234;V_I_O
Insertion;827,111433;V_Q_O
Merge;0,243436;V_A
Merge;0,150642;V_O
Merge;0,148526;V_I_O
Merge;0,232941;V_Q_O
Heap;0,266717;V_A
Heap;0,164683;V_O
Heap;0,16539;V_I_O
Heap;0,258617;V_Q_O
Quick;0,136301;V_A
Quick;0,053632;V_O
Quick;0,053796;V_I_O
Quick;0,137954;V_Q_O
Shell;0,350051;V_A
Shell;0,076591;V_O
Shell;0,106722;V_I_O
Shell;0,310446;V_Q_O
