Algoritmos;N_trocas;Tipo_Vetor
Bubble;2,50078E+11;V_A
Bubble;0;V_O
Bubble;5E+11;V_I_O
Bubble;2,88036E+11;V_Q_O
Bubble_Sentinela;2,49968E+11;V_A
Bubble_Sentinela;0;V_O
Bubble_Sentinela;4,99999E+11;V_I_O
Bubble_Sentinela;2,88235E+11;V_Q_O
Selection;999893;V_A
Selection;0;V_O
Selection;499999;V_I_O
Selection;999989;V_Q_O
Insertion;2,50099E+11;V_A
Insertion;0;V_O
Insertion;4,99999E+11;V_I_O
Insertion;2,88292E+11;V_Q_O
Merge;18672692;V_A
Merge;10066463;V_O
Merge;9885018;V_I_O
Merge;17713069;V_Q_O
Heap;19047934;V_A
Heap;19787792;V_O
Heap;18330173;V_I_O
Heap;18828757;V_Q_O
Quick;6532700;V_A
Quick;737856;V_O
Quick;1237855;V_I_O
Quick;6349576;V_Q_O
Shell;44984900;V_A
Shell;0;V_O
Shell;9736577;V_I_O
Shell;35797686;V_Q_O
